activity_id,molregno,assay_id,doc_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,activity_comment,data_validity_comment,compound_chembl_id,compound_name,max_phase,molecule_type,first_approval,mw_freebase,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,molecular_species,full_mwt,aromatic_rings,heavy_atoms,num_alerts,assay_type,assay_organism,assay_tissue,assay_cell_type,assay_subcellular_fraction,target_chembl_id,target_name,target_type,target_organism
11,770,622,84,Ki,=,28.822562314065507,nM,9.660195834447844,,,CHEMBL1847,Compound_10,0,Small molecule,,283.42248443873063,3.938282386030536,1,0,76.15369755032356,16,Y,1,NEUTRAL,460.2870796045072,3,67,0,F,Rattus norvegicus,,,,CHEMBL367,Histone deacetylase 1,SINGLE PROTEIN,Homo sapiens
12,2392,278,134,IC50,=,6.301739695100129,nM,8.533234548799776,,,CHEMBL2952,Compound_11,2,Small molecule,,346.8512967706475,0.419524151735974,2,6,120.04944133853364,4,N,1,ACID,300.8999809186133,3,62,1,B,,,,,CHEMBL4279,Vascular endothelial growth factor receptor 2,PROTEIN FAMILY,Homo sapiens
13,2434,836,309,IC50,=,3.4053961267116666,nM,9.38264156339063,,,CHEMBL4762,,3,Small molecule,,506.79130055929704,0.320399178155359,14,0,87.39952686259302,19,Y,0,NEUTRAL,424.40705263689244,3,72,0,F,,,,,CHEMBL1647,Cyclin-dependent kinase 2,SINGLE PROTEIN,Homo sapiens
14,1185,19,354,EC50,=,6.637858153488901,nM,4.817319787498307,,,CHEMBL1762,,3,Small molecule,,158.44582734879762,5.503618403278465,14,6,71.14181580046117,14,Y,1,BASE,278.24212857531063,4,41,3,B,Rattus norvegicus,,,,CHEMBL4051,Dopamine D2 receptor,SINGLE PROTEIN,Homo sapiens
15,4556,66,298,Ki,=,1.614279374526798,nM,4.197980567378065,,,CHEMBL2931,Compound_14,0,Small molecule,,337.03009267497197,2.278088060272425,10,0,107.02543235198345,15,N,0,NEUTRAL,451.30233771273913,4,12,0,B,Mus musculus,,,,CHEMBL655,Serotonin transporter,SINGLE PROTEIN,Homo sapiens
16,3386,167,450,IC50,=,7.4999034621019405,nM,6.95750959425744,,,CHEMBL2717,Compound_15,1,Protein,,304.49546605375025,2.3648041770618655,9,6,97.90356697521266,1,N,0,NEUTRAL,236.16499152169237,3,21,0,B,Homo sapiens,,,,CHEMBL3276,Dopamine D2 receptor,PROTEIN COMPLEX,Homo sapiens
17,4118,585,30,EC50,<=,60.2543742246759,nM,6.688917213996643,,,CHEMBL1350,,1,Small molecule,,387.86846959282434,3.347054174871651,9,2,85.47396051273344,13,Y,0,ZWITTERION,356.58881691354617,4,45,0,B,Homo sapiens,,,,CHEMBL1788,Matrix metalloproteinase-9,SINGLE PROTEIN,Homo sapiens
18,4844,403,9,IC50,=,87.64898383753905,nM,9.218823727490557,,,CHEMBL3376,,4,Small molecule,,337.27424380590656,-0.2283466919930044,6,7,83.95577156190735,9,Y,1,NEUTRAL,174.8736618575122,4,17,1,B,Homo sapiens,,,,CHEMBL4084,Dopamine D2 receptor,SINGLE PROTEIN,Homo sapiens
19,2905,912,475,Potency,=,21.204499477165218,nM,5.032872605689371,,,CHEMBL1611,Compound_18,2,Small molecule,,518.2353648967444,0.39219948189450626,1,0,93.10358687807506,18,Y,0,NEUTRAL,323.52234340870643,4,66,0,A,,,,,CHEMBL1380,Tyrosine-protein kinase ABL1,CELL-LINE,Mus musculus
20,475,822,170,IC50,<,43.1586314226982,nM,4.141493306103909,,,CHEMBL123,,1,Small molecule,,326.0634536240409,4.230129637078998,13,5,75.05768014537179,4,Y,0,ACID,160.0,1,71,0,A,Rattus norvegicus,,,,CHEMBL2778,Tyrosine-protein kinase ABL1,SINGLE PROTEIN,Homo sapiens
21,1083,409,290,Ki,=,12.550139848325903,nM,7.175486783575915,,,CHEMBL3718,Compound_20,4,Protein,,400.35866949847355,1.2093725135062727,1,0,103.62285197857354,6,Y,0,NEUTRAL,191.57066290302788,0,53,0,P,Homo sapiens,,,,CHEMBL4946,Dopamine D2 receptor,SINGLE PROTEIN,Homo sapiens
22,2559,112,168,EC50,=,4.6601609109066615,nM,5.065396644367905,,,CHEMBL3465,Compound_21,0,Small molecule,,461.54400515996724,4.697832056178091,13,2,54.82676995753761,11,Y,2,NEUTRAL,273.9801827960385,3,13,0,B,Homo sapiens,,,,CHEMBL401,Histone deacetylase 1,SINGLE PROTEIN,Homo sapiens
23,2048,274,344,IC50,=,10.12650382743042,nM,4.297053910509883,,,CHEMBL2952,,1,Small molecule,,214.73086691092269,3.351448395874315,10,1,65.3301586094149,5,Y,0,ACID,457.3906281299573,2,29,2,B,Homo sapiens,,,,CHEMBL2071,Acetylcholinesterase,SINGLE PROTEIN,Homo sapiens
24,2748,407,497,EC50,<=,190.29989043752772,nM,4.133238732430946,,,CHEMBL168,Compound_23,2,Protein,,275.1416996876808,3.211027011892399,1,4,47.60317400732215,18,N,1,ZWITTERION,417.03639504490565,4,15,2,B,Mus musculus,,,,CHEMBL2167,Vascular endothelial growth factor receptor 2,SINGLE PROTEIN,Homo sapiens
25,976,373,145,IC50,=,0.21165490448385732,nM,4.854601933194598,,,CHEMBL529,Compound_24,2,Protein,,188.70897558080787,3.280740254712527,10,2,131.9387489544326,6,Y,0,BASE,421.88416005981264,2,30,0,B,Homo sapiens,,,,CHEMBL4890,Vascular endothelial growth factor receptor 2,SINGLE PROTEIN,Homo sapiens
26,1807,597,413,Ki,<=,2.0290186118294304,nM,6.255139506132702,,,CHEMBL382,,2,Small molecule,,241.1223054482768,4.9791025245853024,8,3,16.187815508223032,9,Y,0,NEUTRAL,185.61060681418533,5,38,1,P,Rattus norvegicus,,,,CHEMBL307,Histone deacetylase 1,PROTEIN FAMILY,Homo sapiens
27,190,651,228,EC50,<,7.794634267239044,nM,9.303809969715482,,,CHEMBL2790,Compound_26,3,Protein,,369.2472199335233,3.172935582743885,11,0,69.7489023740121,15,Y,0,BASE,184.71428477947262,0,72,0,F,Homo sapiens,,,,CHEMBL437,Serotonin transporter,SINGLE PROTEIN,Homo sapiens
28,2735,39,306,IC50,=,2.176285767295282,nM,8.563447664122984,,,CHEMBL3978,Compound_27,2,Protein,,501.15930898696286,2.6404527373567497,4,7,53.66254963740237,16,Y,0,BASE,564.1793105826025,3,11,0,F,Rattus norvegicus,,,,CHEMBL4977,Acetylcholinesterase,SINGLE PROTEIN,
29,3006,105,76,IC50,<,48.24388480773777,nM,7.181009424511113,,,CHEMBL3458,,2,Small molecule,,464.32023879853386,3.90227379700402,10,6,63.35684989096004,9,N,0,ACID,428.92019225532715,2,33,1,A,Homo sapiens,,,,CHEMBL2668,Cyclin-dependent kinase 2,SINGLE PROTEIN,Homo sapiens
30,4659,324,223,Ki,=,0.9353723495542711,nM,6.582068592266996,,,CHEMBL245,Compound_29,3,Small molecule,,409.15854296276405,2.60358968521901,10,4,17.463027945203443,18,Y,0,BASE,424.07743739399854,1,13,0,A,Homo sapiens,,,,CHEMBL4242,Acetylcholinesterase,SINGLE PROTEIN,Homo sapiens
31,1900,793,177,IC50,=,222.89892507366224,nM,6.734794458273252,,,CHEMBL1949,Compound_30,3,Antibody,,338.32958030294964,4.914478001239023,13,2,53.74872178285759,14,Y,0,BASE,423.69192206683016,4,47,2,F,Homo sapiens,,,,CHEMBL2442,Dopamine D2 receptor,PROTEIN COMPLEX,Homo sapiens
32,1268,959,457,EC50,=,1004.8324913302818,nM,9.307866487101366,,,CHEMBL4166,Compound_31,0,Small molecule,,404.271329581768,2.0818059184081736,4,2,89.00868073571131,11,Y,0,NEUTRAL,263.4911591118549,3,36,0,B,Mus musculus,,,,CHEMBL4150,Dopamine D2 receptor,PROTEIN COMPLEX,Homo sapiens
33,1529,992,189,IC50,=,33.03581474026603,nM,8.347786785175739,,,CHEMBL1353,,2,Small molecule,,367.60022868021036,0.05440227475078041,0,4,42.560986950704475,16,Y,0,NEUTRAL,457.96035818205894,2,28,1,F,Mus musculus,,,,CHEMBL2490,Matrix metalloproteinase-9,SINGLE PROTEIN,Homo sapiens
34,3203,414,467,Potency,>=,5.825190854467762,nM,5.0320750870273585,,,CHEMBL1730,,2,Small molecule,,489.7491988702585,1.4172150982615548,0,6,116.40024208640646,0,Y,0,ZWITTERION,312.39442108073314,1,43,0,F,Rattus norvegicus,,,,CHEMBL1525,Histone deacetylase 1,SINGLE PROTEIN,Mus musculus
35,3557,429,302,EC50,=,128.20850509842865,nM,9.638391325674853,,,CHEMBL4921,,3,Small molecule,,391.8742610911189,2.775743567661558,11,4,50.2849688908349,18,Y,1,BASE,472.8366294145735,2,22,2,U,Homo sapiens,,,,CHEMBL2718,Vascular endothelial growth factor receptor 2,PROTEIN COMPLEX,Homo sapiens
36,3891,635,46,Ki,=,11.407054332670485,nM,8.63749032293131,,,CHEMBL4265,,0,Protein,,443.168101107344,3.6745529648182154,1,4,26.047743236312485,7,Y,0,NEUTRAL,196.55562514529066,0,66,0,F,Homo sapiens,,,,CHEMBL3669,Dopamine D2 receptor,PROTEIN FAMILY,Mus musculus
37,647,730,382,IC50,<,3.635950882975705,nM,4.20493644628253,,,CHEMBL1118,,0,Small molecule,,387.65114046132567,4.681551669538235,7,3,123.11789869416782,3,N,0,NEUTRAL,578.5867438616147,1,14,0,B,Homo sapiens,,,,CHEMBL1781,Cyclin-dependent kinase 2,SINGLE PROTEIN,Homo sapiens
38,2889,889,17,IC50,>=,22.31739864050682,nM,7.013542168340951,,,CHEMBL1984,Compound_37,3,Small molecule,,471.34101838051595,3.906099985855888,11,0,90.25671735775161,11,Y,0,NEUTRAL,263.07591927202225,1,59,0,A,Rattus norvegicus,,,,CHEMBL1391,Cannabinoid CB1 receptor,PROTEIN FAMILY,Mus musculus
39,2436,61,66,IC50,>=,0.8575697496187982,nM,7.916690774432317,,,CHEMBL2692,,1,Small molecule,,320.5097788079205,2.616658714863654,14,7,94.12792771421533,0,Y,0,ZWITTERION,460.4660544056646,1,79,0,P,Homo sapiens,,,,CHEMBL2411,Tyrosine-protein kinase ABL1,SINGLE PROTEIN,Homo sapiens
40,601,612,360,IC50,<,4.5724735545238735,nM,4.3659340190380345,,,CHEMBL459,Compound_39,4,Protein,,305.0657639535285,2.978093466453732,13,5,142.14076756528885,7,N,0,ZWITTERION,480.576509340216,3,41,1,F,Rattus norvegicus,,,,CHEMBL791,Matrix metalloproteinase-9,SINGLE PROTEIN,Mus musculus
41,2364,307,261,Ki,=,4.34268561172794,nM,6.118361055401573,,,CHEMBL519,,0,Small molecule,,447.47594249045613,4.0557676605307265,4,2,29.785974784324168,6,Y,0,ACID,160.0,2,64,0,F,Mus musculus,,,,CHEMBL4090,Cannabinoid CB1 receptor,PROTEIN COMPLEX,Mus musculus
42,2062,354,123,EC50,=,16.623506681277544,nM,7.889814770354892,,,CHEMBL1618,,0,Antibody,,387.4536585722903,2.0532669818301086,5,2,112.86571046507078,2,Y,1,NEUTRAL,224.40783803594886,1,42,0,F,Rattus norvegicus,,,,CHEMBL3690,Epidermal growth factor receptor,SINGLE PROTEIN,Homo sapiens
43,242,393,231,IC50,=,0.8359216544325331,nM,8.896526046027285,,,CHEMBL4232,Compound_42,0,Small molecule,,333.7820459526437,5.024655081382359,5,7,18.003755049380032,9,Y,0,NEUTRAL,269.4007626200915,1,36,0,F,Homo sapiens,,,,CHEMBL1788,Serotonin transporter,SINGLE PROTEIN,
44,2042,204,438,Ki,=,3.147980576530269,nM,9.862827373849413,,,CHEMBL1886,Compound_43,0,Small molecule,,368.5488327631417,0.5790624564158116,6,6,36.701416053534615,0,Y,0,NEUTRAL,256.98906568188846,5,16,0,A,Homo sapiens,,,,CHEMBL1474,Vascular endothelial growth factor receptor 2,SINGLE PROTEIN,Homo sapiens
45,2825,258,125,IC50,=,7.192574657405635,nM,4.72978271760448,,,CHEMBL2639,,4,Small molecule,,398.28427296048324,4.754920666490949,9,5,103.83689359692666,1,N,0,NEUTRAL,403.5919529469859,2,68,1,P,Homo sapiens,,,,CHEMBL4664,Matrix metalloproteinase-9,SINGLE PROTEIN,Homo sapiens
46,2613,486,112,IC50,<=,51.838148457205286,nM,7.794414337740499,,,CHEMBL1466,,1,Small molecule,,409.14476809729024,1.5726352956080232,1,4,80.99691161633882,4,Y,0,BASE,408.2594854164239,3,69,0,F,Homo sapiens,,,,CHEMBL4302,Matrix metalloproteinase-9,PROTEIN COMPLEX,Homo sapiens
47,1364,517,272,Kd,<=,20.1889398675643,nM,9.356738105963094,,,CHEMBL2570,,1,Small molecule,,434.0110887888234,3.1204886164085215,5,7,1.5489115598984995,18,N,0,NEUTRAL,425.12972334393896,0,16,0,P,,,,,CHEMBL3742,Cannabinoid CB1 receptor,SINGLE PROTEIN,Homo sapiens
48,1479,446,81,EC50,=,528.3279113394701,nM,8.301507157742579,,,CHEMBL1134,,1,Small molecule,,343.0415271259371,3.043634482473002,14,5,53.881202477687566,10,Y,1,NEUTRAL,220.69130809646373,3,26,0,F,Homo sapiens,,,,CHEMBL3637,Acetylcholinesterase,SINGLE PROTEIN,Homo sapiens
49,2557,709,246,Ki,<,3.288912382670457,nM,7.79439777646709,,,CHEMBL763,,3,Small molecule,,403.9909204723719,3.383520560315467,4,4,44.14261238640085,11,N,1,NEUTRAL,329.9027386830733,2,43,1,A,Homo sapiens,,,,CHEMBL3426,Cyclin-dependent kinase 2,CELL-LINE,Homo sapiens
50,776,180,347,IC50,=,117.50506678527886,nM,5.286531850058989,,,CHEMBL194,Compound_49,1,Protein,,250.2206628610564,1.7593770989143613,6,4,93.15663794365224,1,Y,1,ACID,254.04868790338105,3,73,1,F,Rattus norvegicus,,,,CHEMBL2510,Histone deacetylase 1,SINGLE PROTEIN,Mus musculus
51,4015,342,391,IC50,=,117.33067016331742,nM,8.891783947583342,,,CHEMBL3690,,3,Small molecule,,378.51537341100214,4.9921531434998885,2,0,83.3191919614876,19,N,0,NEUTRAL,219.03996853396623,2,61,0,F,Rattus norvegicus,,,,CHEMBL316,Histone deacetylase 1,CELL-LINE,Mus musculus
52,35,133,392,IC50,<=,28.81205160701669,nM,7.374948298705206,,,CHEMBL2931,,1,Protein,,338.4157532944886,0.2614184330951592,3,1,87.70460245680214,5,N,0,NEUTRAL,483.3308979153539,2,19,1,F,Rattus norvegicus,,,,CHEMBL1030,Dopamine D2 receptor,PROTEIN FAMILY,Mus musculus
53,3153,443,328,Kd,=,26.66354916576078,nM,4.668497380114029,,,CHEMBL948,Compound_52,0,Small molecule,,342.87796675045695,2.71888761598482,12,5,40.37039739882593,16,Y,0,NEUTRAL,454.866355772525,4,75,1,P,Homo sapiens,,,,CHEMBL1878,Serotonin transporter,SINGLE PROTEIN,Homo sapiens
54,1956,836,215,EC50,<,34.05506051299774,nM,9.6136104503879,,,CHEMBL1250,Compound_53,1,Small molecule,,330.1437070833961,1.5387728899330018,12,3,57.16645464381608,11,Y,0,ACID,282.92681423927763,1,79,3,A,Homo sapiens,,,,CHEMBL2074,Serotonin transporter,SINGLE PROTEIN,Homo sapiens
55,1586,253,352,IC50,=,3.0693957864128247,nM,9.930344423839536,,,CHEMBL4017,,1,Small molecule,,316.4940546351986,1.6708835261295691,3,5,86.61976765786665,14,N,1,NEUTRAL,526.644464722724,4,27,0,F,Rattus norvegicus,,,,CHEMBL4760,Tyrosine-protein kinase ABL1,SINGLE PROTEIN,
56,3944,265,235,Kd,>,137.1358210888589,nM,7.226034782215359,,,CHEMBL2371,Compound_55,0,Small molecule,,298.57698322642256,3.7399150224945803,12,5,78.5318923784319,11,Y,1,BASE,517.9933592691706,4,71,0,B,Homo sapiens,,,,CHEMBL2810,Dopamine D2 receptor,SINGLE PROTEIN,
57,3074,93,367,EC50,=,23.329834096192553,nM,8.658874564436623,,,CHEMBL2649,Compound_56,0,Oligosaccharide,,306.59991363754204,4.463579196345265,10,7,103.47321936135857,12,Y,0,ACID,273.2475272749323,4,13,0,B,,,,,CHEMBL381,Histone deacetylase 1,SINGLE PROTEIN,Homo sapiens
58,1022,662,82,Ki,=,1.8130254142001265,nM,7.499876235454033,,,CHEMBL2117,Compound_57,3,Small molecule,,424.8473702547131,2.2652847053716636,11,3,41.21410290539188,15,N,0,NEUTRAL,401.04565880993886,3,51,3,B,Homo sapiens,,,,CHEMBL704,Epidermal growth factor receptor,SINGLE PROTEIN,Homo sapiens
59,3462,411,294,IC50,=,217.53091429054825,nM,6.533234462613152,,,CHEMBL3381,,2,Small molecule,,433.3052568631996,3.236204005875475,4,7,33.68089823329675,4,N,0,NEUTRAL,419.8841543966622,4,50,0,P,Homo sapiens,,,,CHEMBL3556,Cannabinoid CB1 receptor,PROTEIN COMPLEX,Homo sapiens
60,2614,138,310,IC50,=,16.163071255731044,nM,6.454648202304146,,,CHEMBL3992,Compound_59,0,Small molecule,,251.5947348099073,2.149307201292621,1,2,80.77882398180834,2,Y,0,NEUTRAL,412.7953383830853,4,27,0,B,Homo sapiens,,,,CHEMBL999,Histone deacetylase 1,CELL-LINE,Mus musculus
61,3844,208,76,IC50,=,22.33131971667762,nM,9.785885793422413,,,CHEMBL1875,Compound_60,1,Small molecule,,409.2061009738649,2.371888143983482,11,1,117.66817910012487,3,N,0,NEUTRAL,267.7800294878768,0,43,1,B,Rattus norvegicus,,,,CHEMBL4932,Acetylcholinesterase,PROTEIN COMPLEX,Mus musculus
62,1501,637,15,IC50,=,0.13252316033284595,nM,6.212718978594519,,,CHEMBL3040,Compound_61,2,Small molecule,,254.97110452082762,0.686992186323506,12,7,23.921339249139656,0,Y,0,NEUTRAL,534.8217386960149,3,62,1,A,Mus musculus,,,,CHEMBL3441,Epidermal growth factor receptor,SINGLE PROTEIN,Homo sapiens
63,4799,746,220,Ki,>,17.031396651795113,nM,6.942725122868625,,,CHEMBL2533,,3,Small molecule,,386.729283684976,1.7864746670054543,2,0,40.07295930324308,1,N,0,NEUTRAL,356.5044997691472,4,59,2,A,Mus musculus,,,,CHEMBL4757,Serotonin transporter,SINGLE PROTEIN,Homo sapiens
64,162,573,230,Ki,>,254.23416493943387,nM,5.4909447151925885,,,CHEMBL1819,,2,Small molecule,,282.89539135949286,5.838700005058626,1,3,57.63742620420356,14,N,1,NEUTRAL,373.1443384368668,1,28,2,P,Homo sapiens,,,,CHEMBL2029,Matrix metalloproteinase-9,SINGLE PROTEIN,Homo sapiens
65,4298,307,434,Ki,=,5.725853550076681,nM,5.519692326671292,,,CHEMBL3891,,0,Small molecule,,509.26087690325653,5.182052096870339,7,4,69.70336090763183,15,Y,0,NEUTRAL,395.4455938796427,3,61,1,B,,,,,CHEMBL3506,Cannabinoid CB1 receptor,SINGLE PROTEIN,Homo sapiens
66,1982,266,440,Kd,=,1.5281984381673266,nM,6.137362572484883,,,CHEMBL2492,,0,Small molecule,,438.1790784021447,0.7866763346679058,10,4,101.89819133995516,12,Y,1,BASE,394.37863928644657,1,53,0,B,Mus musculus,,,,CHEMBL284,Cyclin-dependent kinase 2,CELL-LINE,
67,996,646,479,IC50,>,49.99223717182239,nM,9.548665817544869,,,CHEMBL3001,,0,Small molecule,,375.42957189856486,2.981397165317211,12,2,40.27468355907677,0,Y,0,NEUTRAL,468.4578517643089,1,78,0,B,Rattus norvegicus,,,,CHEMBL4675,Acetylcholinesterase,SINGLE PROTEIN,
68,4912,318,372,Potency,=,0.6153156113686443,nM,6.379228318207481,,,CHEMBL3705,Compound_67,0,Protein,,393.9763399366199,3.6486126147174733,1,3,64.09004111201315,11,Y,0,NEUTRAL,448.6326035030842,1,77,0,P,Homo sapiens,,,,CHEMBL2056,Acetylcholinesterase,SINGLE PROTEIN,Homo sapiens
69,3343,113,265,Potency,=,66.83015361886214,nM,7.313737052494959,,,CHEMBL579,Compound_68,1,Small molecule,,460.49752121722645,4.571062901569949,3,3,52.02990548618929,6,Y,0,NEUTRAL,344.91959895125166,0,24,0,F,Mus musculus,,,,CHEMBL4399,Serotonin transporter,PROTEIN FAMILY,Mus musculus
70,4552,901,264,EC50,=,13.367594210346855,nM,7.2745207995438985,,,CHEMBL4491,,1,Small molecule,,377.2255358005606,3.54862460227175,1,3,91.72418839813415,13,N,0,BASE,430.22284274152923,0,39,0,A,Rattus norvegicus,,,,CHEMBL1218,Cyclin-dependent kinase 2,SINGLE PROTEIN,Homo sapiens
71,3799,378,110,IC50,=,23.645740199109518,nM,7.498907545949152,,,CHEMBL2030,,4,Small molecule,,327.7883119451011,2.128603654513027,7,7,83.71806658300827,19,Y,0,NEUTRAL,391.3899349756201,3,75,1,F,Mus musculus,,,,CHEMBL3088,Epidermal growth factor receptor,PROTEIN COMPLEX,Mus musculus
72,1276,454,403,Ki,=,2274.0590972697732,nM,8.920260602178763,,,CHEMBL2805,Compound_71,0,Small molecule,,430.54908295661556,2.4261209091965767,14,5,104.82570620802693,9,N,1,ACID,331.4870668407738,3,64,0,P,Homo sapiens,,,,CHEMBL898,Epidermal growth factor receptor,PROTEIN COMPLEX,Homo sapiens
73,1017,191,307,IC50,=,33.144304475518595,nM,9.407208447307735,,,CHEMBL141,,2,Small molecule,,428.3810741220999,2.2538543229143606,13,2,94.35425312658992,13,Y,0,BASE,416.9135125574624,3,67,1,B,Mus musculus,,,,CHEMBL2869,Tyrosine-protein kinase ABL1,PROTEIN FAMILY,Homo sapiens
74,338,891,200,Ki,=,1.381623595806955,nM,5.252481204227384,,,CHEMBL1192,Compound_73,2,Small molecule,,256.4246730965345,3.057689758775625,14,2,106.19715645546651,0,Y,1,ZWITTERION,504.1219363734999,1,16,0,F,Homo sapiens,,,,CHEMBL1443,Acetylcholinesterase,PROTEIN COMPLEX,Homo sapiens
75,879,440,226,IC50,=,25.27191974456645,nM,9.162683691846237,,,CHEMBL4620,Compound_74,0,Small molecule,,319.31509513210733,3.2159750743409123,13,2,61.07848300174226,10,Y,1,NEUTRAL,416.3608063556453,2,12,0,A,Homo sapiens,,,,CHEMBL535,Cyclin-dependent kinase 2,SINGLE PROTEIN,Mus musculus
76,1077,187,185,EC50,=,88.77269366184194,nM,7.286242763844669,,,CHEMBL3627,,4,Antibody,,426.15269107053683,4.6495842445033855,7,7,119.16892047419047,9,Y,0,ACID,452.60074564320087,5,13,0,U,Homo sapiens,,,,CHEMBL3412,Vascular endothelial growth factor receptor 2,PROTEIN COMPLEX,
77,4888,831,452,EC50,=,0.3541395691015077,nM,9.546817175860717,,,CHEMBL4168,,3,Small molecule,,486.66009654649014,3.8892352250806996,2,0,23.379663692097324,3,Y,1,NEUTRAL,503.859720962963,5,43,1,P,Mus musculus,,,,CHEMBL3218,Dopamine D2 receptor,SINGLE PROTEIN,Homo sapiens
78,3994,367,31,IC50,>,19.578550023881412,nM,9.496939449832754,,,CHEMBL3401,,0,Protein,,389.0654258935224,3.3489800109329084,5,6,115.63303682672924,0,Y,0,ACID,438.4418487309235,3,10,0,A,Homo sapiens,,,,CHEMBL1704,Acetylcholinesterase,CELL-LINE,Homo sapiens
79,4860,89,102,IC50,<,0.6298451400587861,nM,6.336599746411968,,,CHEMBL3588,Compound_78,0,Small molecule,,393.37151620287744,1.7039120563923222,7,2,46.126629517802314,16,Y,1,NEUTRAL,505.9669580880768,2,21,1,B,Mus musculus,,,,CHEMBL1654,Matrix metalloproteinase-9,PROTEIN FAMILY,
80,380,187,259,IC50,=,21.10405832909437,nM,7.911260444514457,,,CHEMBL676,,0,Small molecule,,425.68430097653163,2.4873114229582165,14,3,108.52231414705992,16,N,0,BASE,416.93908828271117,2,54,1,B,Homo sapiens,,,,CHEMBL2049,Matrix metalloproteinase-9,PROTEIN FAMILY,Homo sapiens
81,493,819,99,EC50,=,441.01801996557526,nM,9.228467125492053,,,CHEMBL2080,,1,Protein,,358.8864553465566,3.7242348683379563,0,3,104.78867667979632,10,Y,0,BASE,217.64789306082608,0,58,3,B,Homo sapiens,,,,CHEMBL3300,Histone deacetylase 1,SINGLE PROTEIN,Mus musculus
